sample,simulationStep,simulationStepsTime,neighborSearchTime,timeSteps,particles,solver,fViscosity,stiffness,iterations,timeStep,densityError,cfl,boundary,bViscosity,gamma1,gamma2,gamma3
188,19867,6.3138,2.2236,489,6838,IISPH,5,2000,14,0.015,0.0014927996,8.963005E-05,Zero,5,1,1,1
189,19934,5.8974,1.4889,490,6838,IISPH,5,2000,15,0.015,0.0014930577,8.5008796E-05,Zero,5,1,1,1
190,20000,6.209,2.1386,491,6838,IISPH,5,2000,15,0.015,0.0014933673,8.330403E-05,Zero,5,1,1,1
191,20067,5.5208,1.4156,492,6838,IISPH,5,2000,16,0.015,0.0014938575,8.8092405E-05,Zero,5,1,1,1
192,20133,6.8023,2.121,493,6838,IISPH,5,2000,18,0.015,0.0014940382,9.7514545E-05,Zero,5,1,1,1
193,20200,7.9471,1.5749,494,6838,IISPH,5,2000,15,0.015,0.0014932769,0.00010357956,Zero,5,1,1,1
194,20267,7.3342,1.887,495,6838,IISPH,5,2000,19,0.015,0.0014941156,0.00010523514,Zero,5,1,1,1
195,20333,5.4278,1.4177,496,6838,IISPH,5,2000,15,0.015,0.0014933286,0.00010442825,Zero,5,1,1,1
196,20400,5.3217,1.474,497,6838,IISPH,5,2000,14,0.015,0.0014928383,0.000103520375,Zero,5,1,1,1
197,20466,5.5187,1.4027,498,6838,IISPH,5,2000,16,0.015,0.0014929285,0.0001074641,Zero,5,1,1,1
198,20533,5.3358,1.4631,499,6838,IISPH,5,2000,15,0.015,0.0014927867,0.00010988715,Zero,5,1,1,1
199,20600,7.2068,2.0733,500,6838,IISPH,5,2000,16,0.015,0.0014927738,0.00011131778,Zero,5,1,1,1
200,20665,29.4477,1.4605,501,6838,IISPH,5,2000,135,0.016999999,0.001685689,0.00014417624,Zero,5,1,1,1
201,20724,7.5311,2.1883,502,6838,IISPH,5,2000,18,0.016999999,0.0016912366,0.00012656824,Zero,5,1,1,1
202,20783,6.6372,1.4167,503,6838,IISPH,5,2000,19,0.016999999,0.0016912237,0.00012468084,Zero,5,1,1,1
203,20842,6.8883,1.602,504,6838,IISPH,5,2000,19,0.016999999,0.0016920622,0.000121924924,Zero,5,1,1,1
204,20900,6.7712,2.0709,505,6838,IISPH,5,2000,19,0.016999999,0.0016914043,0.00011832197,Zero,5,1,1,1
205,20959,7.1151,1.4095,506,6838,IISPH,5,2000,21,0.016999999,0.0016922042,0.00011476838,Zero,5,1,1,1
206,21018,6.435,1.4291,507,6838,IISPH,5,2000,20,0.016999999,0.001691843,0.00011112293,Zero,5,1,1,1
207,21077,6.8137,1.4486,508,6838,IISPH,5,2000,22,0.016999999,0.0016928363,0.00010697998,Zero,5,1,1,1
208,21136,6.3789,1.4115,509,6838,IISPH,5,2000,18,0.016999999,0.0016918817,0.00010237633,Zero,5,1,1,1
209,21195,7.6515,2.2609,510,6838,IISPH,5,2000,20,0.016999999,0.0016915591,0.00010117304,Zero,5,1,1,1
210,21253,5.8376,1.4056,511,6838,IISPH,5,2000,17,0.016999999,0.0016912882,0.0001047216,Zero,5,1,1,1
211,21312,5.5132,1.4189,512,6838,IISPH,5,2000,14,0.016999999,0.0016906045,0.000105817446,Zero,5,1,1,1
212,21371,7.5223,2.2754,513,6838,IISPH,5,2000,21,0.016999999,0.001692359,0.00010017689,Zero,5,1,1,1
213,21430,6.7358,1.4164,514,6838,IISPH,5,2000,18,0.016999999,0.0016916752,9.1983915E-05,Zero,5,1,1,1
214,21488,6.2132,1.4204,515,6838,IISPH,5,2000,19,0.016999999,0.0016911592,8.6876906E-05,Zero,5,1,1,1
215,21547,6.9505,2.099,516,6838,IISPH,5,2000,16,0.016999999,0.001691185,8.054666E-05,Zero,5,1,1,1
216,21606,7.3396,1.6082,517,6838,IISPH,5,2000,19,0.016999999,0.0016918946,8.6093234E-05,Zero,5,1,1,1
