sample,simulationStep,simulationStepsTime,timeSteps,particles,solver,fViscosity,stiffness,iterations,timeStep,densityError,cfl,boundary,bViscosity,gamma1,gamma2,gamma3
192,30602,2.5411,306,1650,SESPH,40,40000,0,0.01,0.19254996,0.00310335,Mirroring,40,1,1,1
193,30702,4.0002,307,1650,SESPH,40,40000,0,0.01,0.10365376,0.0053403033,Mirroring,40,1,1,1
194,30802,2.5792,308,1650,SESPH,40,40000,0,0.01,0.07965609,0.003485896,Mirroring,40,1,1,1
195,30901,2.7769,309,1650,SESPH,40,40000,0,0.01,0.03348154,0.0050147306,Mirroring,40,1,1,1
196,31001,2.5464,310,1650,SESPH,40,40000,0,0.01,0.021980038,0.0020723902,Mirroring,40,1,1,1
197,31101,3.302,311,1650,SESPH,40,40000,0,0.01,0.018932609,0.0014449169,Mirroring,40,1,1,1
198,31201,2.5971,312,1650,SESPH,40,40000,0,0.01,0.022820976,0.0019075365,Mirroring,40,1,1,1
199,31301,3.1877,313,1650,SESPH,40,40000,0,0.01,0.04697475,0.0014798727,Mirroring,40,1,1,1
200,31401,2.5921,314,1650,SESPH,40,40000,0,0.01,0.09425216,0.0020506629,Mirroring,40,1,1,1
201,31501,2.8098,315,1650,SESPH,40,40000,0,0.01,0.119272284,0.0023541893,Mirroring,40,1,1,1
202,31601,2.626,316,1650,SESPH,40,40000,0,0.01,0.14499329,0.0018825628,Mirroring,40,1,1,1
203,31701,2.6816,317,1650,SESPH,40,40000,0,0.01,0.18772745,0.0020728135,Mirroring,40,1,1,1
204,31801,2.9187,318,1650,SESPH,40,40000,0,0.01,0.19285652,0.0039675874,Mirroring,40,1,1,1
205,31900,2.6536,319,1650,SESPH,40,40000,0,0.01,0.18314467,0.0024794908,Mirroring,40,1,1,1
206,32000,2.6362,320,1650,SESPH,40,40000,0,0.01,0.15019245,0.0023004704,Mirroring,40,1,1,1
207,32100,2.7501,321,1650,SESPH,40,40000,0,0.01,0.105362795,0.0012618975,Mirroring,40,1,1,1
208,32200,2.9275,322,1650,SESPH,40,40000,0,0.01,0.05266927,0.0015668839,Mirroring,40,1,1,1
209,32300,2.7091,323,1650,SESPH,40,40000,0,0.01,0.031294342,0.00094004837,Mirroring,40,1,1,1
210,32400,2.623,324,1650,SESPH,40,40000,0,0.01,0.032285366,0.0013704768,Mirroring,40,1,1,1
211,32500,3.0879,325,1650,SESPH,40,40000,0,0.01,0.052934125,0.0012965335,Mirroring,40,1,1,1
212,32600,2.7729,326,1650,SESPH,40,40000,0,0.01,0.08839857,0.00090144825,Mirroring,40,1,1,1
213,32700,2.6093,327,1650,SESPH,40,40000,0,0.01,0.13412917,0.0010768827,Mirroring,40,1,1,1
214,32800,2.7581,328,1650,SESPH,40,40000,0,0.01,0.16975123,0.0011719407,Mirroring,40,1,1,1
215,32900,2.8053,329,1650,SESPH,40,40000,0,0.01,0.18139212,0.0011570475,Mirroring,40,1,1,1
216,32999,3.0231,330,1650,SESPH,40,40000,0,0.01,0.17751381,0.00080516987,Mirroring,40,1,1,1
217,33099,2.6675,331,1650,SESPH,40,40000,0,0.01,0.15239494,0.0012927023,Mirroring,40,1,1,1
218,33199,2.5098,332,1650,SESPH,40,40000,0,0.01,0.111766234,0.0008513327,Mirroring,40,1,1,1
219,33299,2.7234,333,1650,SESPH,40,40000,0,0.01,0.06859852,0.00068436534,Mirroring,40,1,1,1
220,33399,2.6413,334,1650,SESPH,40,40000,0,0.01,0.04755996,0.00051741867,Mirroring,40,1,1,1
221,33499,2.5516,335,1650,SESPH,40,40000,0,0.01,0.044700846,0.0005063679,Mirroring,40,1,1,1
222,33599,2.5164,336,1650,SESPH,40,40000,0,0.01,0.057221666,0.0005803857,Mirroring,40,1,1,1
223,33699,2.9623,337,1650,SESPH,40,40000,0,0.01,0.08792758,0.0006881307,Mirroring,40,1,1,1
224,33799,2.7812,338,1650,SESPH,40,40000,0,0.01,0.12715729,0.00073688914,Mirroring,40,1,1,1
225,33899,2.9502,339,1650,SESPH,40,40000,0,0.01,0.15825306,0.0006540536,Mirroring,40,1,1,1
226,33998,3.4262,340,1650,SESPH,40,40000,0,0.01,0.16933544,0.00055306446,Mirroring,40,1,1,1
227,34098,2.5078,341,1650,SESPH,40,40000,0,0.01,0.16366212,0.00049271894,Mirroring,40,1,1,1
228,34198,3.0406,342,1650,SESPH,40,40000,0,0.01,0.14012352,0.00060231704,Mirroring,40,1,1,1
229,34298,2.5711,343,1650,SESPH,40,35000,0,0.01,0.104914315,0.0006389994,Mirroring,40,1,1,1
230,34398,2.5609,344,1650,SESPH,40,35000,0,0.01,0.073453605,0.00050926645,Mirroring,40,1,1,1
231,34498,2.7096,345,1650,SESPH,40,35000,0,0.01,0.058791734,0.00042829307,Mirroring,40,1,1,1
232,34598,2.7533,346,1650,SESPH,40,35000,0,0.01,0.064006194,0.00047343777,Mirroring,40,1,1,1
